Applicant,Major,Interviews availability
 33 ,Biomedical Engineering,"Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 34 ,Biomedical Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Tuesday April 2nd - 6:00-7:00 pm"
 35 ,Mechanical Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Tuesday April 2nd - 6:00-7:00 pm"
 36 ,Applied Math,"Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 37 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 38 ,"Aerospace Engineering, Applied Math","Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 39 ,Aerospace Engineering,"Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 40 ,Biomedical Engineering,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm"
 41 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 42 ,Aerospace Engineering,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 43 ,"Computer Science, Creative Technology and Design","Monday April 1st - 7:00-8:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm"
 44 ,Computer Science,"Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 45 ,Biomedical Engineering,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 46 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 47 ,Integrated Design Engineering,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm"
 48 ,"Integrated Design Engineering, English","Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 49 ,Aerospace Engineering,"Tuesday April 2nd - 6:00-7:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm"
 50 ,"Applied Math, Computer Science","Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm"
 51 ,"Electrical Engineering, Engineering Physics","Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 52 ,Aerospace Engineering,"Monday April 1st - 8:00-9:00 pm, Tuesday April 2nd - 7:00-8:00 pm, Tuesday April 2nd - 8:00-9:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 53 ,Aerospace Engineering,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Wednesday April 3rd - 6:00-7:00 pm"
 54 ,Computer Science,"Monday April 1st - 6:00-7:00 pm, Monday April 1st - 7:00-8:00 pm, Monday April 1st - 8:00-9:00 pm, Wednesday April 3rd - 6:00-7:00 pm, Wednesday April 3rd - 7:00-8:00 pm, Wednesday April 3rd - 8:00-9:00 pm"
 55 ,Mechanical Engineering,"Monday April 1st - 6:00-7:00 pm, Tuesday April 2nd - 6:00-7:00 pm, Tuesday April 2nd - 7:00-8:00 pm"
